False_Positive_Rate,True_Positive_Rate,Threshold
0.03214285714285714,0.7615384615384615,0.7225413
0.039285714285714285,0.7615384615384615,0.7166333
0.039285714285714285,0.7673076923076924,0.6716969
0.04285714285714286,0.7673076923076924,0.6632654
0.04285714285714286,0.7730769230769231,0.61410016
0.04285714285714286,0.7769230769230769,0.60810393
0.04285714285714286,0.7846153846153846,0.5530644
0.04642857142857143,0.7846153846153846,0.5452385
0.04642857142857143,0.7903846153846154,0.51798815
0.05357142857142857,0.7903846153846154,0.51368403
0.05357142857142857,0.7923076923076923,0.5119439
0.060714285714285714,0.7923076923076923,0.4995128
0.060714285714285714,0.7980769230769231,0.4961827
0.06428571428571428,0.7980769230769231,0.49570867
0.06428571428571428,0.801923076923077,0.49358377
0.06785714285714285,0.801923076923077,0.4919858
0.06785714285714285,0.8076923076923077,0.47937018
0.06785714285714285,0.8115384615384615,0.47379678
0.06785714285714285,0.8173076923076923,0.4615128
0.075,0.8173076923076923,0.45650023
0.075,0.8269230769230769,0.4390279
0.07857142857142857,0.8269230769230769,0.43746972
0.07857142857142857,0.8384615384615385,0.40094292
0.08214285714285714,0.8384615384615385,0.3917521
0.08214285714285714,0.8461538461538461,0.35628614
0.08928571428571429,0.8461538461538461,0.3476323
0.09285714285714286,0.8461538461538461,0.34565678
0.1,0.8461538461538461,0.34213266
0.1,0.8480769230769231,0.34156784
0.10357142857142858,0.8480769230769231,0.33914983
0.10357142857142858,0.8519230769230769,0.3337875
0.10714285714285714,0.8519230769230769,0.32838112
0.10714285714285714,0.8557692307692307,0.32254025
0.11428571428571428,0.8557692307692307,0.31995183
0.11428571428571428,0.8576923076923076,0.3179642
0.12142857142857143,0.8576923076923076,0.3150898
0.12142857142857143,0.8596153846153847,0.31190926
0.1357142857142857,0.8596153846153847,0.3045346
0.1357142857142857,0.8634615384615385,0.3039288
0.15,0.8634615384615385,0.2872915
0.15714285714285714,0.8634615384615385,0.2861902
0.15714285714285714,0.8653846153846154,0.28155398
0.175,0.8653846153846154,0.27278155
0.175,0.8673076923076923,0.27060518
0.17857142857142858,0.8673076923076923,0.26471624
0.17857142857142858,0.8692307692307693,0.26273307
0.18214285714285713,0.8692307692307693,0.26229188
0.18214285714285713,0.8730769230769231,0.26126197
0.2,0.8730769230769231,0.25807276
0.2,0.875,0.25772738
0.20714285714285716,0.875,0.2518945
0.20714285714285716,0.8769230769230769,0.25022003
0.21071428571428572,0.8769230769230769,0.2492584
0.21071428571428572,0.8788461538461538,0.24720928
0.21428571428571427,0.8788461538461538,0.24715352
0.21428571428571427,0.8826923076923077,0.2444782
0.21785714285714286,0.8826923076923077,0.24089193
0.21785714285714286,0.8865384615384615,0.23661454
0.22142857142857142,0.8865384615384615,0.23634553
0.22142857142857142,0.8884615384615384,0.23484004
0.2357142857142857,0.8884615384615384,0.23093331
0.2357142857142857,0.8942307692307693,0.22487897
0.28214285714285714,0.8942307692307693,0.21488613
0.28214285714285714,0.8961538461538462,0.2147549
0.2857142857142857,0.8961538461538462,0.21283671
0.2857142857142857,0.9,0.21014836
0.29285714285714287,0.9,0.20872526
0.29285714285714287,0.9038461538461539,0.20768508
0.29642857142857143,0.9038461538461539,0.20749776
0.29642857142857143,0.9057692307692308,0.2062143
0.30357142857142855,0.9057692307692308,0.20496942
0.30357142857142855,0.9096153846153846,0.20074522
0.31785714285714284,0.9096153846153846,0.19451769
0.31785714285714284,0.9173076923076923,0.19110124
0.3464285714285714,0.9173076923076923,0.18054324
0.35714285714285715,0.9173076923076923,0.1793988
0.36428571428571427,0.9173076923076923,0.17731607
0.36428571428571427,0.9192307692307692,0.17706995
0.375,0.9192307692307692,0.17607135
0.375,0.9211538461538461,0.17547755
0.3821428571428571,0.9211538461538461,0.17214067
0.3821428571428571,0.9230769230769231,0.17074084
0.3964285714285714,0.9230769230769231,0.16959468
0.3964285714285714,0.926923076923077,0.16711842
0.4,0.926923076923077,0.16683327
0.4,0.9288461538461539,0.16681264
0.4035714285714286,0.9288461538461539,0.16609107
0.4035714285714286,0.9307692307692308,0.16511999
0.42857142857142855,0.9307692307692308,0.16155422
0.42857142857142855,0.9326923076923077,0.16050786
0.43214285714285716,0.9326923076923077,0.16035523
0.43214285714285716,0.9346153846153846,0.15920065
0.4357142857142857,0.9346153846153846,0.15918908
0.4357142857142857,0.9365384615384615,0.1576562
0.4392857142857143,0.9365384615384615,0.1563491
0.4392857142857143,0.9384615384615385,0.15618078
0.44642857142857145,0.9384615384615385,0.15452729
0.44642857142857145,0.9423076923076923,0.15397315
0.45357142857142857,0.9423076923076923,0.15167995
0.4607142857142857,0.9423076923076923,0.15163578
0.46785714285714286,0.9423076923076923,0.15014693
0.46785714285714286,0.9442307692307692,0.15006182
0.4714285714285714,0.9442307692307692,0.14948848
0.4714285714285714,0.9461538461538461,0.14766994
0.48214285714285715,0.9461538461538461,0.14607696
0.5,0.9461538461538461,0.14256261
0.5,0.948076923076923,0.14227575
0.5071428571428571,0.948076923076923,0.14191055
0.5071428571428571,0.95,0.14174004
0.525,0.95,0.14042562
0.525,0.9538461538461539,0.1378198
0.5392857142857143,0.9538461538461539,0.13580956
0.5392857142857143,0.9557692307692308,0.13504893
0.5535714285714286,0.9557692307692308,0.1333918
0.5535714285714286,0.9576923076923077,0.13321173
0.5642857142857143,0.9576923076923077,0.13251993
0.5642857142857143,0.9673076923076923,0.13076611
0.5714285714285714,0.9673076923076923,0.13067627
0.575,0.9673076923076923,0.12983373
0.575,0.9692307692307692,0.12871543
0.6357142857142857,0.9692307692307692,0.124242894
