True_Label,Predicted_Probability
1,0.807077
1,0.48562992
0,0.31746382
1,0.81282294
1,0.88388187
0,0.10107307
0,0.14089447
0,0.15502317
0,0.12644939
1,0.08086633
1,0.86617357
1,0.9205649
0,0.14173986
0,0.12425514
0,0.13609324
1,0.8801703
0,0.11866327
0,0.08055467
0,0.15167995
1,0.80825526
0,0.84561163
1,0.8925135
0,0.30610812
1,0.9176588
1,0.867682
1,0.8160301
1,0.88770866
1,0.90452147
1,0.85216427
0,0.09439698
1,0.90405726
1,0.8618846
0,0.16959468
1,0.4691464
0,0.11824483
0,0.12323409
1,0.32254025
1,0.9059737
1,0.92535645
1,0.82673514
0,0.11807546
1,0.885966
0,0.09869344
1,0.8280583
0,0.10779627
0,0.085473135
1,0.91671383
1,0.84664255
1,0.9151886
0,0.10816305
0,0.3053739
0,0.20749776
0,0.086742856
1,0.8476762
1,0.8607958
1,0.859625
0,0.0991778
0,0.20496942
1,0.84183633
1,0.93936455
0,0.3917521
1,0.84978056
0,0.086122334
1,0.8539653
1,0.4962292
1,0.9167384
1,0.80269957
1,0.40094292
1,0.4390428
1,0.23484004
1,0.49358377
1,0.9196321
1,0.8716238
1,0.8550716
1,0.8716238
1,0.85033077
1,0.8550716
1,0.8716238
1,0.89556855
1,0.89556855
1,0.8920799
1,0.8920799
1,0.8767647
1,0.88738513
1,0.90152866
1,0.90152866
1,0.85973746
1,0.8920799
1,0.8864042
1,0.8768715
1,0.8920799
1,0.90152866
1,0.8920799
1,0.90152866
1,0.9102678
1,0.8716238
1,0.8550716
1,0.74899244
1,0.8716238
1,0.78410876
1,0.78410876
1,0.7524231
1,0.7618811
1,0.7585394
1,0.78410876
1,0.72806454
1,0.9058418
1,0.78410876
1,0.882894
1,0.90177494
1,0.90177494
1,0.90177494
1,0.89298433
1,0.91244465
1,0.90177494
1,0.91244465
1,0.88861346
1,0.9006086
1,0.91244465
1,0.7432794
1,0.94641155
1,0.8859911
1,0.7802224
1,0.91244465
1,0.88861346
1,0.90177494
1,0.90177494
1,0.88861346
1,0.8807529
0,0.3476323
1,0.88702714
1,0.3039288
0,0.23634553
1,0.19120558
1,0.82851666
0,0.2518945
0,0.27475798
0,0.1563491
0,0.23093331
0,0.14191055
0,0.13251993
1,0.8440308
1,0.8777324
1,0.87820876
0,0.8295176
0,0.3476323
1,0.8335618
1,0.6610518
1,0.8777324
0,0.17783257
0,0.1842159
1,0.3039288
0,0.16489331
1,0.09772013
0,0.12031957
0,0.2581857
0,0.23212162
0,0.11168356
1,0.81841475
1,0.8277207
0,0.43746972
1,0.86275846
0,0.13302667
0,0.06514535
0,0.10251624
0,0.22344619
1,0.9214205
1,0.84779805
1,0.9112426
0,0.12749924
0,0.1048229
1,0.9118133
1,0.8818408
1,0.89971286
0,0.26471624
0,0.45923948
0,0.077862196
0,0.14144376
0,0.111798376
0,0.1793988
0,0.12717102
0,0.12776437
0,0.18824866
1,0.8260202
0,0.09213515
1,0.24720928
0,0.14607696
1,0.8498859
1,0.8688828
1,0.4615128
0,0.1838965
0,0.22486001
0,0.13067627
1,0.33750296
1,0.8855412
1,0.20804414
0,0.20896934
0,0.13067627
1,0.8943641
0,0.12447272
0,0.10816305
1,0.88143545
0,0.12605684
1,0.9009479
0,0.3045346
1,0.28155398
0,0.096179165
0,0.09346185
1,0.25772738
0,0.25807276
0,0.34213266
0,0.11311665
0,0.12542309
0,0.073430896
0,0.11968244
0,0.7260468
1,0.82673514
0,0.10321596
0,0.108054526
1,0.82866466
1,0.93416286
0,0.09012998
1,0.8668199
0,0.21819445
0,0.16392753
0,0.8743406
1,0.9178616
0,0.10377445
1,0.9033631
0,0.1793988
1,0.25022003
0,0.10857557
1,0.8474305
1,0.82905203
0,0.21733776
0,0.11232754
0,0.12255197
0,0.12857826
0,0.12983373
1,0.91564524
0,0.09620337
0,0.10606594
1,0.8759013
0,0.22108051
1,0.84962875
0,0.26229188
0,0.29868862
0,0.11990885
0,0.12484576
0,0.09576301
1,0.9077263
1,0.8116163
1,0.8266192
0,0.0837374
0,0.17214067
1,0.8998144
1,0.9163521
1,0.8438155
0,0.116171576
1,0.9240284
1,0.7225413
1,0.9282218
1,0.8759013
0,0.88226014
1,0.9284231
1,0.9060055
1,0.92566687
0,0.34565678
0,0.31995183
1,0.86636925
0,0.07348626
1,0.90074396
0,0.108054526
1,0.4162566
0,0.14042562
0,0.10816305
0,0.21488613
1,0.8759013
0,0.23474845
1,0.8935297
1,0.8499434
0,0.13502584
0,0.13413474
1,0.47937018
1,0.73614323
1,0.89452666
0,0.11576653
0,0.25929412
1,0.8572299
0,0.30888727
0,0.10816305
1,0.8341293
0,0.2598319
0,0.24089193
0,0.11117201
0,0.17608806
1,0.8608252
1,0.8274981
0,0.12488932
0,0.1949762
0,0.15329446
0,0.15918908
1,0.91597027
0,0.6632654
1,0.94179547
0,0.109422
1,0.9331663
0,0.11141516
0,0.0837374
0,0.118452944
1,0.84747195
1,0.8828952
0,0.11499206
0,0.4995128
0,0.082113154
1,0.84252614
1,0.8595669
0,0.22180372
0,0.15452729
1,0.8771826
1,0.8954642
1,0.88551843
1,0.89892113
0,0.2745433
0,0.14205234
1,0.89531267
0,0.2593976
1,0.45597765
1,0.8666952
1,0.8500253
0,0.07879743
0,0.1046812
1,0.9423904
0,0.10785643
0,0.10213256
1,0.8514935
1,0.91999155
1,0.8508981
1,0.84284157
0,0.3150898
1,0.85306954
0,0.14583103
1,0.8479298
1,0.34156784
1,0.9379668
0,0.11246151
1,0.86869156
1,0.88859636
0,0.14268835
0,0.11337798
1,0.493765
1,0.8816598
1,0.9221044
1,0.89310133
0,0.119315214
1,0.8814707
1,0.78320575
0,0.21693097
1,0.879538
0,0.1727399
1,0.81924963
0,0.5452385
1,0.927479
1,0.22487897
0,0.19542573
1,0.5593472
0,0.3006933
0,0.34213266
0,0.14268683
1,0.82749003
0,0.14256261
1,0.8830447
0,0.114497915
0,0.06514535
0,0.7166333
1,0.2618194
1,0.4961827
1,0.8927292
1,0.895956
0,0.16609107
0,0.1793988
0,0.1198289
0,0.086213835
0,0.10816305
0,0.21607313
1,0.47379678
1,0.92722917
1,0.8979142
1,0.8979142
1,0.9408768
1,0.9262285
0,0.14607696
1,0.90120345
0,0.16683327
1,0.8817299
0,0.101855904
1,0.31190926
1,0.92018986
1,0.91263133
0,0.10445588
1,0.8432258
1,0.8982987
1,0.9203335
0,0.10117419
1,0.83900124
0,0.49570867
0,0.14523022
1,0.9220303
1,0.9121684
1,0.8907209
0,0.8171744
0,0.51368403
0,0.14948848
0,0.15014693
0,0.11235096
1,0.9344254
1,0.8777203
1,0.8809101
0,0.1347635
0,0.16035523
1,0.8564409
1,0.82847977
