Genome ID,amikacin,amoxicillin,amoxicillin/clavulanic acid,ampicillin,ampicillin/sulbactam,apramycin,azithromycin,aztreonam,beta-lactam,carbenicillin,cefazolin,cefepime,cefotaxime,cefotaxime/clavulanic acid,cefotetan,cefoxitin,cefpodoxime,cefpodoxime_clavulanic_acid,ceftaroline,ceftazidime,ceftazidime/avibactam,ceftiofur,ceftolozane/tazobactam,ceftriaxone,cefuroxime,cephalexin,cephalothin,chloramphenicol,ciprofloxacin,clarithromycin,clindamycin,colistin,daptomycin,doripenem,doxycycline,ertapenem,erythromycin,fosfomycin,gentamicin,imipenem,kanamycin,levofloxacin,lincomycin,linezolid,meropenem,minocycline,moxifloxacin,nalidixic acid,neomycin,netilmicin,nitrofurantoin,norfloxacin,ofloxacin,oxytetracycline,penicillin,piperacillin,piperacillin/tazobactam,polymyxin B,rifampin,streptomycin,sulbactam,sulfamethoxazole,sulfisoxazole,teicoplanin,tetracycline,ticarcillin/clavulanic acid,tigecycline,tobramycin,trimethoprim,trimethoprim/sulfamethoxazole,vancomycin
562.100062,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
562.100063,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100064,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100065,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100066,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100067,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100068,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100069,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.10007,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100071,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100072,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100073,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100074,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100075,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100076,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100077,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100078,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100079,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.10008,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100081,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100082,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100083,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,1.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100084,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,1.0,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100085,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100086,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100087,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100088,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100089,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.10009,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100091,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100092,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100093,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100094,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100095,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100096,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100097,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100098,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100099,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.1001,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100101,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100102,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100103,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100104,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100105,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100106,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100107,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100108,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100109,,,,1.0,,,,,,,,,1.0,,,,,,,0.0,,,,,1.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.10011,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100111,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100112,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100113,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100114,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,
562.100115,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
562.100116,,,,1.0,,,,,,,,,0.0,,,,,,,0.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,1.0,
