True_Label,Predicted_Probability
0,0.033107724
0,0.022222832
0,0.14308386
0,0.08029554
0,0.04437114
0,0.032647178
0,0.062969625
0,0.037384786
0,0.040243603
1,0.828398
0,0.05553717
0,0.10092468
0,0.08565814
0,0.081258364
0,0.09333163
1,0.65251327
0,0.06958069
1,0.12370689
1,0.09496706
0,0.15826383
0,0.15826383
0,0.15826383
0,0.15826383
0,0.15826383
0,0.15826383
0,0.085704274
0,0.085704274
1,0.8887785
1,0.8887785
1,0.8887785
1,0.93501586
1,0.93501586
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
1,0.8887785
0,0.15826383
0,0.15826383
